Placemark,LL Lon,LL Lat,UR Lon,UR Lat
165_67,38.806,-10.803,40.881,-9.439
165_66,39.124,-9.358,41.189,-7.993
162_68,43.121,-12.247,45.207,-10.885
162_69,42.798,-13.691,44.896,-12.33
163_68,41.576,-12.247,43.662,-10.885
164_67,40.351,-10.803,42.426,-9.439
164_68,40.031,-12.247,42.117,-10.885
164_69,39.708,-13.691,41.806,-12.33
164_70,39.381,-15.134,41.493,-13.776
